,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,lpk
339,26.6,4,151.0,84.0,2635,16.4,81,USA,buick skylark,11.31
340,25.8,4,156.0,92.0,2620,14.4,81,USA,dodge aries wagon (sw),10.97
341,23.5,6,173.0,110.0,2725,12.6,81,USA,chevrolet citation,9.99
342,30.0,4,135.0,84.0,2385,12.9,81,USA,plymouth reliant,12.75
343,39.1,4,79.0,58.0,1755,16.9,81,JAPAN,toyota starlet,16.62
344,39.0,4,86.0,64.0,1875,16.4,81,USA,plymouth champ,16.58
345,35.1,4,81.0,60.0,1760,16.1,81,JAPAN,honda civic 1300,14.92
346,32.3,4,97.0,67.0,2065,17.8,81,JAPAN,subaru,13.73
347,37.0,4,85.0,65.0,1975,19.4,81,JAPAN,datsun 210 mpg,15.73
348,37.7,4,89.0,62.0,2050,17.3,81,JAPAN,toyota tercel,16.03
349,34.1,4,91.0,68.0,1985,16.0,81,JAPAN,mazda glc 4,14.5
350,34.7,4,105.0,63.0,2215,14.9,81,USA,plymouth horizon 4,14.75
351,34.4,4,98.0,65.0,2045,16.2,81,USA,ford escort 4w,14.62
352,29.9,4,98.0,65.0,2380,20.7,81,USA,ford escort 2h,12.71
353,33.0,4,105.0,74.0,2190,14.2,81,EU,volkswagen jetta,14.03
354,34.5,4,100.0,104.0,2320,15.8,81,EU,renault 18i,14.67
355,33.7,4,107.0,75.0,2210,14.4,81,JAPAN,honda prelude,14.33
356,32.4,4,108.0,75.0,2350,16.8,81,JAPAN,toyota corolla,13.77
357,32.9,4,119.0,100.0,2615,14.8,81,JAPAN,datsun 200sx,13.99
358,31.6,4,120.0,74.0,2635,18.3,81,JAPAN,mazda 626,13.43
359,28.1,4,141.0,80.0,3230,20.4,81,EU,peugeot 505s turbo diesel,11.95
360,30.7,6,145.0,76.0,3160,19.6,81,EU,volvo diesel,13.05
361,25.4,6,168.0,116.0,2900,12.6,81,JAPAN,toyota cressida,10.8
362,24.2,6,146.0,120.0,2930,13.8,81,JAPAN,datsun 810 maxima,10.29
363,22.4,6,231.0,110.0,3415,15.8,81,USA,buick century,9.52
364,26.6,8,350.0,105.0,3725,19.0,81,USA,oldsmobile cutlass ls,11.31
365,20.2,6,200.0,88.0,3060,17.1,81,USA,ford granada gl,8.59
366,17.6,6,225.0,85.0,3465,16.6,81,USA,chrysler lebaron salon,7.48
367,28.0,4,112.0,88.0,2605,19.6,82,USA,chevrolet cavalier,11.9
368,27.0,4,112.0,88.0,2640,18.6,82,USA,chevrolet cavalier wagon,11.48
369,34.0,4,112.0,88.0,2395,18.0,82,USA,chevrolet cavalier 2-door,14.45
370,31.0,4,112.0,85.0,2575,16.2,82,USA,pontiac j2000 se hatchback,13.18
371,29.0,4,135.0,84.0,2525,16.0,82,USA,dodge aries se,12.33
372,27.0,4,151.0,90.0,2735,18.0,82,USA,pontiac phoenix,11.48
373,24.0,4,140.0,92.0,2865,16.4,82,USA,ford fairmont futura,10.2
374,23.0,4,151.0,104.0,3035,20.5,82,USA,amc concord dl,9.78
375,36.0,4,105.0,74.0,1980,15.3,82,EU,volkswagen rabbit l,15.31
376,37.0,4,91.0,68.0,2025,18.2,82,JAPAN,mazda glc custom l,15.73
377,31.0,4,91.0,68.0,1970,17.6,82,JAPAN,mazda glc custom,13.18
378,38.0,4,105.0,63.0,2125,14.7,82,USA,plymouth horizon miser,16.16
379,36.0,4,98.0,70.0,2125,17.3,82,USA,mercury lynx l,15.31
380,36.0,4,120.0,88.0,2160,14.5,82,JAPAN,nissan stanza xe,15.31
381,36.0,4,107.0,75.0,2205,14.5,82,JAPAN,honda accord,15.31
382,34.0,4,108.0,70.0,2245,16.9,82,JAPAN,toyota corolla,14.45
383,38.0,4,91.0,67.0,1965,15.0,82,JAPAN,honda civic,16.16
384,32.0,4,91.0,67.0,1965,15.7,82,JAPAN,honda civic (auto),13.6
385,38.0,4,91.0,67.0,1995,16.2,82,JAPAN,datsun 310 gx,16.16
386,25.0,6,181.0,110.0,2945,16.4,82,USA,buick century limited,10.63
387,38.0,6,262.0,85.0,3015,17.0,82,USA,oldsmobile cutlass ciera (diesel),16.16
388,26.0,4,156.0,92.0,2585,14.5,82,USA,chrysler lebaron medallion,11.05
389,22.0,6,232.0,112.0,2835,14.7,82,USA,ford granada l,9.35
390,32.0,4,144.0,96.0,2665,13.9,82,JAPAN,toyota celica gt,13.6
391,36.0,4,135.0,84.0,2370,13.0,82,USA,dodge charger 2.2,15.31
392,27.0,4,151.0,90.0,2950,17.3,82,USA,chevrolet camaro,11.48
393,27.0,4,140.0,86.0,2790,15.6,82,USA,ford mustang gl,11.48
394,44.0,4,97.0,52.0,2130,24.6,82,EU,vw pickup,18.71
395,32.0,4,135.0,84.0,2295,11.6,82,USA,dodge rampage,13.6
396,28.0,4,120.0,79.0,2625,18.6,82,USA,ford ranger,11.9
397,31.0,4,119.0,82.0,2720,19.4,82,USA,chevy s-10,13.18
